INFO:root:2019-05-10 16:27:20, Epoch : 1, Step : 1, Training Loss : 0.93996, Training Acc : 0.172, Run Time : 377.10
INFO:root:2019-05-10 16:31:37, Epoch : 1, Step : 2, Training Loss : 0.84703, Training Acc : 0.211, Run Time : 256.54
INFO:root:2019-05-10 16:31:43, Epoch : 1, Step : 3, Training Loss : 0.73431, Training Acc : 0.394, Run Time : 6.33
INFO:root:2019-05-10 16:31:43, Epoch : 1, Step : 4, Training Loss : 0.60123, Training Acc : 0.722, Run Time : 0.26
INFO:root:2019-05-10 16:31:45, Epoch : 1, Step : 5, Training Loss : 0.57824, Training Acc : 0.706, Run Time : 1.55
INFO:root:2019-05-10 16:36:10, Epoch : 1, Step : 6, Training Loss : 0.58383, Training Acc : 0.700, Run Time : 265.50
INFO:root:2019-05-10 16:38:11, Epoch : 1, Step : 7, Training Loss : 0.55229, Training Acc : 0.706, Run Time : 120.52
INFO:root:2019-05-10 16:38:17, Epoch : 1, Step : 8, Training Loss : 0.74122, Training Acc : 0.689, Run Time : 6.08
INFO:root:2019-05-10 16:38:17, Epoch : 1, Step : 9, Training Loss : 0.65261, Training Acc : 0.678, Run Time : 0.24
INFO:root:2019-05-10 16:38:35, Epoch : 1, Step : 10, Training Loss : 0.68227, Training Acc : 0.689, Run Time : 18.14
INFO:root:2019-05-10 16:38:36, Epoch : 1, Step : 11, Training Loss : 0.57781, Training Acc : 0.728, Run Time : 0.64
INFO:root:2019-05-10 16:39:37, Epoch : 1, Step : 12, Training Loss : 0.77923, Training Acc : 0.661, Run Time : 61.66
INFO:root:2019-05-10 16:40:12, Epoch : 1, Step : 13, Training Loss : 0.67045, Training Acc : 0.644, Run Time : 34.28
INFO:root:2019-05-10 16:40:17, Epoch : 1, Step : 14, Training Loss : 0.74557, Training Acc : 0.622, Run Time : 5.14
INFO:root:2019-05-10 16:40:17, Epoch : 1, Step : 15, Training Loss : 0.71904, Training Acc : 0.594, Run Time : 0.30
INFO:root:2019-05-10 16:40:17, Epoch : 1, Step : 16, Training Loss : 0.68576, Training Acc : 0.611, Run Time : 0.24
INFO:root:2019-05-10 16:40:19, Epoch : 1, Step : 17, Training Loss : 0.78235, Training Acc : 0.561, Run Time : 1.57
INFO:root:2019-05-10 16:40:37, Epoch : 1, Step : 18, Training Loss : 0.61674, Training Acc : 0.639, Run Time : 17.84
INFO:root:2019-05-10 16:40:37, Epoch : 1, Step : 19, Training Loss : 0.57881, Training Acc : 0.600, Run Time : 0.67
INFO:root:2019-05-10 16:40:38, Epoch : 1, Step : 20, Training Loss : 0.62971, Training Acc : 0.633, Run Time : 0.25
INFO:root:2019-05-10 16:40:38, Epoch : 1, Step : 21, Training Loss : 0.53228, Training Acc : 0.800, Run Time : 0.21
INFO:root:2019-05-10 16:40:38, Epoch : 1, Step : 22, Training Loss : 0.58523, Training Acc : 0.711, Run Time : 0.34
INFO:root:2019-05-10 16:42:17, Epoch : 1, Step : 23, Training Loss : 0.67715, Training Acc : 0.539, Run Time : 99.20
INFO:root:2019-05-10 16:42:23, Epoch : 1, Step : 24, Training Loss : 0.64791, Training Acc : 0.606, Run Time : 5.82
INFO:root:2019-05-10 16:42:24, Epoch : 1, Step : 25, Training Loss : 0.61305, Training Acc : 0.672, Run Time : 0.24
INFO:root:2019-05-10 16:42:25, Epoch : 1, Step : 26, Training Loss : 0.66562, Training Acc : 0.628, Run Time : 1.70
INFO:root:2019-05-10 16:43:22, Epoch : 1, Step : 27, Training Loss : 0.62076, Training Acc : 0.650, Run Time : 56.35
