INFO:root:2019-05-11 12:22:08, Epoch : 1, Step : 1, Training Loss : 0.93038, Training Acc : 0.192, Run Time : 191.32
INFO:root:2019-05-11 12:22:29, Epoch : 1, Step : 2, Training Loss : 0.82418, Training Acc : 0.258, Run Time : 21.04
INFO:root:2019-05-11 12:22:45, Epoch : 1, Step : 3, Training Loss : 0.73251, Training Acc : 0.367, Run Time : 16.31
INFO:root:2019-05-11 12:22:55, Epoch : 1, Step : 4, Training Loss : 0.66854, Training Acc : 0.550, Run Time : 10.06
INFO:root:2019-05-11 12:23:02, Epoch : 1, Step : 5, Training Loss : 0.62676, Training Acc : 0.694, Run Time : 6.66
INFO:root:2019-05-11 12:23:16, Epoch : 1, Step : 6, Training Loss : 0.61973, Training Acc : 0.694, Run Time : 14.56
INFO:root:2019-05-11 12:23:34, Epoch : 1, Step : 7, Training Loss : 0.66474, Training Acc : 0.633, Run Time : 17.36
INFO:root:2019-05-11 12:23:54, Epoch : 1, Step : 8, Training Loss : 0.78298, Training Acc : 0.603, Run Time : 20.88
INFO:root:2019-05-11 12:24:01, Epoch : 1, Step : 9, Training Loss : 0.78543, Training Acc : 0.600, Run Time : 6.64
INFO:root:2019-05-11 12:24:19, Epoch : 1, Step : 10, Training Loss : 0.87025, Training Acc : 0.558, Run Time : 17.52
INFO:root:2019-05-11 12:24:23, Epoch : 1, Step : 11, Training Loss : 0.76934, Training Acc : 0.606, Run Time : 4.22
INFO:root:2019-05-11 12:24:45, Epoch : 1, Step : 12, Training Loss : 0.85182, Training Acc : 0.556, Run Time : 22.06
INFO:root:2019-05-11 12:24:49, Epoch : 1, Step : 13, Training Loss : 0.80932, Training Acc : 0.561, Run Time : 4.25
INFO:root:2019-05-11 12:25:11, Epoch : 1, Step : 14, Training Loss : 0.79006, Training Acc : 0.547, Run Time : 21.73
INFO:root:2019-05-11 12:25:19, Epoch : 1, Step : 15, Training Loss : 0.71787, Training Acc : 0.553, Run Time : 8.66
INFO:root:2019-05-11 12:25:25, Epoch : 1, Step : 16, Training Loss : 0.66479, Training Acc : 0.611, Run Time : 5.73
INFO:root:2019-05-11 12:25:38, Epoch : 1, Step : 17, Training Loss : 0.67929, Training Acc : 0.542, Run Time : 12.54
INFO:root:2019-05-11 12:25:59, Epoch : 1, Step : 18, Training Loss : 0.68372, Training Acc : 0.578, Run Time : 21.64
INFO:root:2019-05-11 12:26:02, Epoch : 1, Step : 19, Training Loss : 0.70662, Training Acc : 0.433, Run Time : 2.45
INFO:root:2019-05-11 12:26:47, Epoch : 1, Step : 20, Training Loss : 0.71949, Training Acc : 0.406, Run Time : 45.50
INFO:root:2019-05-11 12:26:55, Epoch : 1, Step : 21, Training Loss : 0.71626, Training Acc : 0.442, Run Time : 7.66
INFO:root:2019-05-11 12:27:32, Epoch : 1, Step : 22, Training Loss : 0.72503, Training Acc : 0.419, Run Time : 37.07
INFO:root:2019-05-11 12:27:41, Epoch : 1, Step : 23, Training Loss : 0.71691, Training Acc : 0.400, Run Time : 9.07
INFO:root:2019-05-11 12:28:05, Epoch : 1, Step : 24, Training Loss : 0.70351, Training Acc : 0.475, Run Time : 24.27
