0.99820,37600,101728
0.99811,21856,167072
0.99793,61792,86432
0.99758,25696,106848
0.99694,72928,154400
0.99692,22048,167904
0.99679,22560,171872
0.99516,20128,166432
0.99475,67936,159776
0.99443,64160,87968
0.99307,65440,158368
0.99293,20704,84000
0.99239,26912,81568
0.99160,34528,96032
0.99083,69536,82208
0.98943,18080,95328
0.98871,26848,104544
0.98688,45792,177952
0.98666,26400,173664
0.98576,33056,178016
0.98522,41376,101856
0.98475,42528,103328
0.98437,31776,90720
0.98388,44000,107232
0.98303,28064,103072
0.98293,46688,99232
0.98223,71904,154144
0.98143,47328,178976
0.98086,23776,173408
0.98063,16800,86944
0.98032,28832,178016
0.97972,29152,158368
0.97941,15392,92064
0.97858,17824,90656
0.97826,29280,180000
0.97693,31520,88160
0.97564,27104,85984
0.97556,48160,108640
0.97501,35360,167712
0.97444,31008,97888
0.97350,26144,95840
0.97300,40480,104672
0.97272,49248,179424
0.97263,21600,172832
0.97219,20960,166240
0.97205,38816,170208
0.97195,20768,100896
0.97135,23072,160416
0.97106,36576,167008
0.97013,56096,170400
0.96979,19808,82976
0.96885,25056,102368
0.96756,35744,172064
0.96653,31072,102048
0.96639,23008,159264
0.96340,18208,91680
0.96318,35616,163744
0.96312,48736,175840
0.96310,31520,181728
0.96251,35744,164896
0.96007,50912,171680
0.95931,36960,174560
0.95790,24544,89696
0.95772,47584,176800
0.95722,43360,101856
0.95454,32032,88992
0.95438,64992,83424
0.95339,57120,170528
0.95299,62048,84192
0.95292,32416,179616
0.94895,41824,105760
0.94864,22048,170720
0.94836,52192,179552
0.94680,17760,94496
0.94612,44320,103648
0.94431,32352,160992
0.94304,30304,177632
0.94195,22944,172768
0.94136,38432,172448
0.93966,50272,98848
0.93802,23904,97440
0.93381,31968,93152
0.93181,16864,96096
0.93142,36064,177568
0.92922,43488,106272
0.92884,16288,89760
0.92837,33120,101728
0.92672,46496,106784
0.92579,65888,159136
0.92428,15328,93408
0.92365,33248,86880
0.92202,23520,102240
0.92194,33504,106336
0.92051,55968,171488
0.91990,18848,96352
0.91969,31200,101216
0.91742,33184,167072
0.91680,44384,104800
0.91335,45536,104608
0.91325,54816,171104
0.91225,37408,92896
0.91202,21472,83552
0.91191,42656,104352
0.91021,28832,91680
0.90972,18784,97504
0.90864,31712,95648
0.90795,62496,82528
0.90645,63008,87968
0.90331,25120,103328
0.90279,19616,79968
0.90207,69920,83104
0.90147,29216,175904
0.89962,33440,103200
0.89867,28576,165472
0.89718,17248,87904
0.89497,36896,88288
0.89354,40480,107168
0.89287,32416,169760
0.89242,24672,172768
0.89083,26208,82912
0.88898,61280,85536
0.88589,36128,181920
0.88521,64096,86048
0.88307,33568,169760
0.88266,23968,105888
0.87973,24864,82272
0.87857,34336,99232
0.87832,39520,103968
0.87733,27936,175968
0.87688,50080,172320
0.87652,23072,100448
0.87605,31008,171232
0.87449,63328,183392
0.87414,38816,175648
0.86889,46816,104544
0.86463,33568,174816
0.86015,34400,172896
0.85973,29344,94880
0.85951,44384,102304
0.85831,34208,100128
0.85788,42336,176160
0.85327,31840,99872
0.85190,26912,93280
0.85109,44832,107424
0.84996,34720,158176
0.84733,43488,102624
0.84726,30880,103008
0.84472,48224,96992
0.84416,67232,157216
0.84341,28960,85984
0.84256,23968,104096
0.84190,60768,86944
0.83978,39904,162848
0.83714,20768,163616
0.83702,52704,97440
0.83543,50144,177696
0.83484,22112,96928
0.83206,20384,159840
0.82992,32800,157408
0.82807,21216,79776
0.82675,26016,174688
0.82527,19936,169056
0.82283,54560,181856
0.82121,45984,110560
0.82019,52384,182176
0.81992,26592,175904
0.81716,37216,181280
0.81652,36896,161248
0.81644,65376,93728
0.81563,20448,101984
0.81482,27040,171232
0.81440,40416,102432
0.81107,36064,95136
0.81093,23648,174304
0.81075,38240,106848
0.81023,52640,184672
0.80633,41248,91168
0.80583,35744,86624
0.80579,44704,10336
0.80483,26464,106144
0.80290,43040,96608
0.80248,33248,96800
0.79982,29216,87072
0.79800,25440,175520
0.79784,28320,94752
0.79666,46048,105696
0.79594,47840,177568
0.79474,20064,90144
0.79413,46368,103712
0.79355,24160,100384
0.79183,37664,161376
0.79176,24608,88800
0.79039,62304,100384
0.78910,41568,107872
0.78848,25312,94112
0.78847,47648,180320
0.78605,37856,171168
0.78404,26976,87904
