1.00000,32416,104800
0.99963,27424,130400
0.99883,29472,131168
0.99697,40544,94432
0.99506,42784,100384
0.99220,30112,97632
0.99173,24736,131872
0.98699,33248,108832
0.97345,28704,133472
0.96934,42336,101152
0.96142,24032,130976
0.94846,31456,133728
0.94562,38560,107488
0.94444,42784,99488
0.92570,23648,133664
0.90860,20320,134048
0.80867,24544,129952
0.79506,28448,129568
0.78635,18592,159712
0.77963,23904,132576
0.73282,30688,91552
0.70393,24864,131040
0.69597,29664,136864
0.66445,11232,101280
0.64844,16160,159456
0.63054,11488,160032
0.62795,42272,95072
0.62723,63584,109920
0.62171,41952,96224
0.60877,29920,145568
0.54323,23392,135840
0.53745,48800,123168
0.52993,22304,130528
